; impassible type::top left x,y::bottom right x,y

; this is one water rectangle
water::30,5::341,36
water::41,32::342,61
water::58,59::333,96
water::75,94::362,121
water::119,118::381,164
water::125,160::420,205
water::123,201::470,258
water::124,258::475,315
water::122,313::548,367
water::469,285::522,319
water::135,360::549,425
water::158,425::550,634
water::162,631::532,652
water::166,655::506,675
water::168,642::515,665
water::169,675::491,702
water::166,701::472,731
water::163,731::451,758
water::165,757::443,799
water::1246,642::1439,799
water::1255,623::1439,663
water::1291,612::1439,646
water::1312,596::1439,636
water::1341,590::1439,617
water::1349,583::1439,611
water::1358,577::1439,598
water::1364,568::1439,607
water::1369,562::1439,582
water::1375,557::1439,576
water::1385,550::1439,579
water::1390,544::1439,568
water::1399,540::1439,562
water::1402,534::1439,643
water::1407,529::1439,554
water::1415,525::1439,549
water::1424,523::1439,547
